,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
小人之交,"[51, 23, 20, 48, 98, 32, 32, 20, 67, 1]","[94, 47, 7, 57, 94, 27, 64, 87, 84, 3]","[5, 28, 3, 7, 11, 34, 4, 23, 18, 5]","[53, 71, 95, 49, 6, 88, 58, 80, 52, 100]","[52, 78, 93, 48, 99, 58, 74, 42, 85, 100]","[51, 48, 71, 81, 3, 60, 92, 15, 69, 100]","[77, 8, 95, 73, 98, 41, 75, 81, 87, 2]","[2, 3, 9, 65, 98, 27, 35, 19, 69, 2]","[1, 1, 6, 1, 51, 20, 6, 22, 0, 3]","[11, 30, 0, 25, 50, 21, 42, 25, 1, 2]","[96, 60, 2, 5, 51, 1, 77, 42, 100, 10]","[90, 29, 1, 2, 4, 8, 58, 15, 1, 16]","[16, 3, 2, 2, 2, 11, 18, 33, 2, 23]","[2, 31, 2, 2, 6, 0, 21, 17, 89, 22]","[7, 23, 1, 2, 23, 13, 4, 69, 1, 63]","[95, 48, 27, 3, 100, 100, 86, 53, 99, 88]","[4, 9, 0, 3, 0, 7, 2, 16, 2, 3]","[48, 9, 1, 6, 20, 10, 53, 17, 3, 14]","[97, 23, 42, 20, 23, 2, 18, 16, 6, 3]","[68, 80, 51, 7, 50, 44, 80, 52, 83, 4]","[58, 31, 12, 0, 22, 5, 27, 53, 1, 6]","[2, 41, 9, 0, 0, 1, 10, 18, 84, 4]","[97, 68, 89, 75, 76, 95, 49, 74, 97, 13]","[71, 63, 59, 45, 2, 76, 23, 50, 2, 8]","[4, 13, 1, 0, 0, 0, 6, 0, 1, 4]","[99, 49, 68, 53, 24, 3, 57, 67, 2, 2]","[73, 71, 64, 19, 51, 67, 68, 18, 80, 1]","[67, 58, 0, 49, 28, 98, 3, 86, 5, 59]","[33, 22, 0, 32, 2, 54, 49, 49, 5, 37]","[100, 66, 51, 59, 61, 1, 89, 8, 8, 65]","[52, 84, 100, 52, 70, 2, 74, 4, 100, 61]","[69, 42, 24, 91, 48, 78, 64, 74, 3, 32]","[35, 23, 0, 45, 26, 2, 41, 8, 4, 24]","[2, 22, 21, 12, 3, 1, 0, 45, 3, 8]","[49, 23, 0, 1, 49, 3, 0, 32, 3, 8]"
保长(坊长)-居民,"[77, 79, 75, 28, 90, 84, 84, 53, 89]","[4, 11, 2, 10, 16, 0, 86, 21, 1]","[82, 28, 95, 100, 92, 76, 40, 61, 98]","[47, 71, 90, 91, 41, 93, 72, 18, 98]","[7, 20, 95, 15, 53, 14, 1, 60, 44]","[36, 37, 60, 71, 57, 86, 8, 29, 23]","[49, 74, 3, 16, 25, 2, 14, 54, 32]","[27, 49, 40, 27, 24, 38, 42, 84, 3]","[54, 92, 3, 2, 12, 52, 2, 14, 1]","[6, 100, 79, 27, 2, 37, 2, 12, 7]","[74, 93, 47, 88, 82, 50, 87, 21, 70]","[82, 99, 74, 66, 100, 72, 93, 61, 77]","[81, 97, 70, 17, 45, 76, 66, 68, 33]","[78, 97, 69, 45, 71, 62, 50, 71, 59]","[19, 6, 36, 41, 0, 57, 5, 10, 40]","[17, 96, 84, 51, 58, 50, 17, 7, 23]","[85, 2, 9, 32, 44, 57, 13, 1, 17]","[70, 77, 18, 58, 74, 40, 52, 5, 60]","[59, 9, 44, 80, 68, 54, 65, 21, 40]","[81, 36, 59, 78, 71, 70, 81, 51, 82]","[0, 25, 4, 43, 61, 14, 22, 12, 29]","[23, 12, 39, 34, 30, 72, 8, 1, 14]","[76, 67, 12, 72, 92, 42, 64, 75, 74]","[78, 23, 47, 41, 72, 84, 86, 78, 67]","[0, 7, 3, 16, 0, 9, 1, 3, 22]","[72, 60, 49, 81, 66, 70, 93, 80, 71]","[0, 26, 4, 19, 42, 29, 2, 3, 37]","[100, 90, 52, 78, 96, 30, 41, 12, 56]","[100, 95, 95, 100, 95, 97, 100, 68, 51]","[9, 46, 49, 37, 94, 36, 72, 13, 36]","[15, 75, 33, 37, 5, 36, 43, 41, 27]","[100, 2, 36, 77, 75, 42, 35, 56, 49]","[86, 99, 94, 65, 93, 98, 92, 49, 20]","[61, 78, 96, 63, 66, 83, 95, 50, 45]","[0, 14, 1, 53, 5, 1, 37, 12, 48]"
老师-家长,"[78, 88, 57, 84, 48, 79, 85, 82, 99]","[54, 11, 48, 55, 17, 13, 14, 83, 99]","[74, 79, 96, 99, 96, 72, 36, 71, 1]","[26, 0, 41, 14, 16, 19, 92, 13, 98]","[22, 0, 62, 79, 95, 2, 1, 67, 93]","[82, 0, 3, 36, 54, 5, 6, 7, 1]","[57, 74, 76, 64, 54, 5, 13, 59, 85]","[44, 49, 37, 44, 32, 13, 38, 18, 92]","[68, 77, 31, 13, 12, 16, 3, 55, 99]","[69, 2, 82, 17, 4, 41, 3, 28, 25]","[20, 98, 74, 73, 85, 62, 77, 82, 45]","[77, 99, 78, 92, 27, 68, 97, 29, 27]","[14, 95, 33, 27, 28, 83, 59, 9, 33]","[91, 100, 46, 49, 57, 82, 42, 65, 64]","[11, 8, 43, 28, 6, 65, 4, 19, 22]","[77, 4, 42, 34, 92, 61, 57, 74, 59]","[17, 64, 21, 55, 0, 52, 47, 6, 41]","[8, 0, 87, 26, 4, 31, 51, 8, 33]","[15, 0, 63, 80, 48, 73, 52, 56, 41]","[76, 6, 63, 81, 15, 68, 7, 91, 70]","[0, 2, 30, 33, 23, 12, 8, 45, 28]","[0, 13, 33, 33, 21, 33, 3, 23, 9]","[16, 62, 25, 16, 100, 45, 70, 87, 70]","[75, 22, 71, 80, 29, 83, 97, 95, 46]","[0, 0, 3, 19, 0, 12, 2, 2, 14]","[73, 57, 67, 82, 58, 69, 77, 65, 66]","[0, 2, 4, 94, 89, 21, 14, 4, 66]","[15, 33, 65, 23, 94, 88, 34, 10, 61]","[100, 81, 96, 100, 94, 96, 70, 68, 51]","[0, 68, 32, 63, 73, 5, 68, 46, 11]","[7, 18, 52, 14, 6, 27, 13, 22, 26]","[24, 45, 53, 79, 91, 84, 82, 80, 46]","[89, 93, 94, 99, 96, 95, 88, 8, 23]","[69, 82, 97, 88, 94, 99, 68, 51, 53]","[0, 15, 2, 5, 4, 2, 22, 10, 45]"
乞丐-路人,"[63, 89, 52, 54, 54, 78, 86, 53, 71]","[6, 10, 2, 89, 38, 29, 16, 18, 1]","[4, 74, 36, 73, 14, 5, 37, 2, 2]","[88, 100, 96, 98, 18, 94, 92, 81, 99]","[15, 100, 98, 84, 96, 60, 1, 74, 1]","[33, 21, 54, 19, 93, 2, 10, 15, 1]","[55, 85, 1, 11, 15, 2, 12, 50, 2]","[31, 0, 4, 9, 12, 0, 31, 2, 1]","[43, 4, 2, 94, 12, 2, 1, 6, 2]","[6, 2, 83, 11, 28, 51, 2, 2, 11]","[100, 3, 82, 72, 83, 48, 89, 12, 20]","[2, 21, 22, 42, 30, 86, 49, 0, 13]","[0, 3, 20, 5, 0, 23, 3, 0, 14]","[7, 9, 22, 45, 61, 67, 78, 0, 14]","[3, 91, 25, 67, 58, 53, 81, 0, 13]","[0, 2, 59, 22, 29, 71, 1, 0, 16]","[93, 2, 5, 58, 7, 48, 76, 0, 27]","[73, 1, 17, 47, 8, 5, 54, 0, 35]","[0, 0, 11, 27, 9, 13, 1, 25, 12]","[9, 1, 70, 36, 71, 42, 2, 89, 2]","[0, 0, 3, 34, 18, 14, 1, 31, 12]","[0, 0, 8, 18, 0, 16, 1, 26, 11]","[7, 70, 10, 81, 84, 46, 90, 81, 12]","[0, 0, 14, 31, 17, 67, 2, 4, 11]","[0, 0, 2, 15, 0, 9, 3, 2, 15]","[0, 0, 56, 22, 27, 71, 1, 35, 17]","[0, 32, 4, 43, 0, 33, 4, 51, 21]","[0, 81, 64, 21, 95, 84, 57, 6, 60]","[100, 67, 97, 15, 95, 86, 96, 41, 51]","[100, 72, 71, 68, 99, 69, 97, 81, 48]","[0, 4, 7, 27, 6, 31, 26, 22, 23]","[0, 89, 18, 5, 5, 2, 55, 54, 51]","[0, 15, 14, 12, 3, 2, 0, 66, 22]","[100, 37, 94, 62, 91, 2, 85, 62, 47]","[0, 12, 2, 73, 4, 5, 12, 11, 55]"
主人-客人,"[91, 90, 68, 72, 48, 75, 85, 20, 98]","[95, 11, 39, 67, 15, 3, 89, 85, 99]","[68, 93, 88, 29, 36, 37, 37, 28, 1]","[15, 66, 84, 72, 80, 86, 86, 76, 1]","[22, 0, 95, 13, 17, 72, 53, 60, 1]","[3, 10, 53, 50, 68, 31, 9, 3, 1]","[66, 100, 78, 60, 80, 54, 14, 57, 98]","[51, 31, 86, 13, 24, 54, 18, 18, 98]","[77, 20, 94, 75, 18, 2, 1, 15, 96]","[12, 2, 79, 43, 31, 41, 5, 1, 17]","[75, 97, 28, 76, 95, 44, 96, 50, 28]","[1, 6, 78, 30, 67, 32, 15, 20, 68]","[8, 2, 32, 28, 44, 83, 3, 13, 44]","[86, 52, 76, 63, 72, 50, 75, 52, 68]","[82, 92, 25, 65, 19, 58, 89, 57, 70]","[23, 94, 27, 24, 74, 69, 88, 71, 73]","[65, 76, 23, 59, 27, 50, 69, 28, 63]","[18, 1, 68, 47, 22, 41, 53, 3, 14]","[17, 6, 69, 60, 14, 56, 15, 44, 43]","[76, 8, 77, 75, 84, 57, 96, 90, 67]","[0, 17, 49, 32, 48, 11, 75, 21, 38]","[16, 17, 61, 63, 8, 77, 64, 60, 60]","[73, 63, 3, 31, 84, 45, 49, 59, 70]","[76, 34, 10, 27, 29, 13, 2, 74, 72]","[0, 36, 2, 15, 0, 8, 2, 2, 10]","[75, 38, 65, 81, 15, 56, 70, 69, 78]","[0, 53, 7, 100, 72, 15, 2, 51, 74]","[21, 74, 83, 51, 96, 98, 40, 24, 62]","[87, 34, 73, 53, 95, 71, 60, 70, 51]","[3, 42, 39, 53, 66, 3, 59, 36, 14]","[5, 35, 12, 10, 3, 1, 48, 21, 27]","[80, 93, 69, 63, 77, 82, 68, 17, 50]","[12, 93, 52, 43, 4, 3, 77, 10, 26]","[81, 85, 91, 54, 77, 99, 58, 70, 52]","[0, 11, 2, 49, 5, 2, 6, 13, 58]"
外公外婆-外孙/外孙女,"[100, 97, 96, 81, 100, 97, 90, 93, 100]","[3, 11, 30, 11, 21, 2, 18, 8, 2]","[4, 79, 5, 87, 100, 16, 39, 3, 2]","[11, 0, 5, 90, 89, 44, 77, 0, 1]","[10, 0, 4, 22, 12, 2, 0, 5, 2]","[2, 49, 2, 30, 16, 2, 9, 0, 1]","[97, 0, 83, 22, 93, 35, 14, 99, 100]","[98, 93, 93, 12, 100, 41, 30, 89, 99]","[85, 89, 89, 6, 96, 88, 1, 94, 97]","[100, 100, 71, 79, 78, 36, 94, 72, 76]","[10, 96, 24, 62, 87, 76, 3, 3, 32]","[2, 40, 34, 79, 22, 86, 81, 61, 60]","[100, 98, 91, 92, 100, 82, 95, 100, 89]","[95, 99, 92, 94, 87, 72, 86, 98, 60]","[100, 97, 78, 66, 95, 53, 95, 100, 75]","[8, 95, 26, 10, 31, 60, 6, 0, 66]","[100, 95, 84, 93, 94, 51, 99, 95, 71]","[96, 99, 100, 95, 100, 99, 98, 100, 78]","[88, 96, 78, 94, 81, 41, 100, 97, 29]","[85, 82, 51, 84, 0, 68, 2, 91, 37]","[90, 96, 90, 83, 92, 17, 100, 98, 48]","[92, 92, 85, 93, 94, 55, 100, 97, 88]","[0, 5, 2, 19, 13, 50, 1, 4, 43]","[88, 97, 60, 83, 91, 82, 5, 94, 43]","[100, 0, 2, 87, 0, 4, 1, 95, 82]","[87, 76, 52, 90, 96, 74, 100, 99, 66]","[0, 0, 3, 24, 0, 27, 2, 3, 34]","[100, 23, 94, 74, 97, 98, 97, 13, 59]","[100, 87, 72, 97, 95, 10, 3, 64, 50]","[0, 4, 3, 2, 4, 2, 0, 19, 12]","[0, 31, 7, 11, 3, 1, 3, 21, 30]","[0, 15, 35, 0, 49, 98, 87, 71, 53]","[0, 13, 4, 0, 7, 6, 0, 9, 23]","[86, 84, 94, 97, 90, 100, 100, 83, 46]","[0, 11, 2, 0, 4, 2, 0, 13, 46]"
同袍（战友）之间,"[93, 100, 95, 86, 77, 94, 84, 78, 98]","[94, 100, 52, 89, 98, 45, 25, 93, 98]","[3, 0, 5, 90, 95, 22, 39, 5, 1]","[7, 0, 8, 42, 89, 48, 93, 75, 2]","[6, 0, 12, 12, 11, 2, 1, 7, 1]","[5, 0, 3, 64, 12, 2, 7, 7, 1]","[80, 84, 85, 21, 31, 16, 14, 91, 98]","[91, 100, 83, 76, 97, 73, 38, 82, 100]","[71, 98, 81, 9, 59, 81, 68, 81, 98]","[100, 2, 19, 45, 0, 48, 2, 30, 13]","[0, 99, 20, 26, 58, 63, 4, 14, 36]","[11, 96, 78, 83, 66, 74, 76, 78, 82]","[83, 96, 87, 71, 33, 82, 95, 75, 35]","[100, 100, 71, 88, 37, 59, 84, 93, 77]","[100, 92, 83, 53, 65, 58, 98, 90, 69]","[1, 98, 56, 2, 99, 59, 91, 70, 72]","[100, 74, 13, 69, 68, 51, 94, 59, 63]","[3, 0, 22, 34, 0, 34, 13, 22, 19]","[95, 71, 67, 94, 27, 82, 80, 70, 65]","[100, 94, 80, 71, 83, 41, 99, 88, 97]","[100, 60, 75, 96, 41, 13, 88, 75, 59]","[100, 87, 74, 90, 43, 76, 75, 88, 76]","[0, 31, 3, 24, 54, 58, 14, 16, 46]","[94, 76, 28, 86, 86, 70, 7, 76, 80]","[0, 1, 3, 19, 0, 9, 2, 5, 13]","[100, 96, 91, 81, 73, 69, 100, 94, 81]","[100, 100, 80, 84, 100, 15, 100, 92, 73]","[100, 92, 77, 61, 98, 99, 98, 17, 57]","[100, 83, 93, 100, 96, 98, 100, 74, 49]","[0, 22, 3, 15, 28, 1, 5, 11, 12]","[0, 48, 39, 7, 1, 3, 6, 29, 24]","[100, 77, 69, 17, 44, 100, 92, 74, 56]","[100, 84, 94, 77, 4, 2, 87, 80, 27]","[100, 83, 96, 100, 100, 100, 98, 85, 52]","[0, 18, 0, 0, 4, 1, 0, 12, 47]"
搭讪的人-被搭讪的人,"[60, 38, 73, 79, 30, 91, 84, 55, 84]","[78, 50, 27, 87, 91, 82, 18, 60, 98]","[89, 4, 46, 76, 20, 4, 45, 8, 2]","[18, 0, 6, 26, 41, 28, 87, 74, 98]","[53, 0, 44, 10, 92, 2, 1, 78, 1]","[81, 0, 3, 14, 49, 2, 8, 5, 2]","[50, 100, 4, 12, 44, 46, 16, 59, 25]","[55, 13, 50, 7, 9, 7, 41, 6, 1]","[35, 73, 32, 85, 17, 2, 1, 8, 2]","[15, 2, 84, 31, 0, 56, 94, 3, 20]","[0, 6, 21, 77, 12, 71, 21, 3, 21]","[0, 13, 28, 5, 0, 18, 11, 0, 9]","[5, 2, 26, 24, 0, 33, 5, 0, 10]","[2, 9, 27, 24, 14, 20, 31, 1, 48]","[100, 87, 27, 54, 56, 50, 96, 16, 12]","[22, 5, 61, 48, 61, 64, 22, 32, 25]","[87, 1, 7, 54, 2, 51, 69, 2, 12]","[0, 1, 31, 46, 1, 43, 6, 0, 38]","[13, 0, 36, 27, 6, 66, 1, 5, 17]","[14, 6, 42, 23, 45, 71, 97, 90, 84]","[5, 0, 35, 30, 2, 13, 1, 7, 17]","[2, 1, 55, 36, 3, 63, 1, 23, 11]","[100, 90, 83, 22, 94, 46, 96, 5, 21]","[0, 2, 16, 41, 18, 13, 18, 36, 60]","[61, 0, 25, 21, 0, 10, 2, 95, 13]","[22, 2, 31, 36, 36, 73, 1, 47, 13]","[0, 49, 4, 20, 45, 14, 3, 23, 26]","[14, 85, 53, 50, 97, 90, 54, 8, 60]","[88, 10, 45, 8, 95, 92, 93, 53, 46]","[0, 9, 50, 32, 44, 3, 44, 18, 34]","[7, 11, 55, 25, 3, 6, 23, 32, 26]","[100, 92, 24, 44, 40, 94, 73, 67, 62]","[0, 10, 50, 2, 3, 2, 0, 10, 25]","[51, 32, 35, 28, 41, 14, 60, 52, 47]","[0, 12, 3, 59, 5, 2, 8, 12, 47]"
继父母-子女,"[49, 89, 70, 10, 100, 86, 87, 50, 84]","[15, 10, 26, 15, 16, 2, 73, 28, 1]","[5, 81, 45, 97, 93, 72, 42, 45, 2]","[82, 0, 40, 27, 94, 52, 85, 23, 5]","[70, 0, 13, 51, 21, 2, 1, 76, 1]","[4, 48, 4, 81, 25, 2, 9, 42, 2]","[72, 0, 80, 15, 89, 7, 16, 57, 88]","[63, 74, 39, 78, 77, 54, 42, 90, 94]","[16, 78, 86, 4, 82, 75, 4, 42, 92]","[97, 100, 48, 65, 91, 44, 94, 87, 67]","[0, 94, 28, 55, 90, 42, 5, 34, 24]","[17, 3, 25, 53, 33, 72, 51, 13, 32]","[95, 97, 65, 75, 81, 81, 97, 75, 66]","[81, 51, 31, 48, 86, 72, 39, 66, 39]","[89, 6, 80, 51, 59, 54, 91, 54, 43]","[0, 95, 62, 38, 30, 50, 2, 10, 55]","[70, 63, 56, 58, 51, 51, 53, 26, 61]","[84, 80, 76, 75, 100, 87, 97, 80, 79]","[32, 59, 65, 78, 71, 71, 63, 64, 15]","[8, 73, 28, 75, 39, 67, 12, 81, 71]","[74, 64, 49, 80, 52, 12, 75, 61, 59]","[58, 77, 73, 97, 64, 73, 67, 63, 31]","[19, 26, 56, 19, 47, 54, 70, 4, 74]","[87, 56, 45, 68, 80, 66, 3, 79, 59]","[100, 0, 2, 87, 0, 9, 2, 9, 15]","[68, 56, 57, 81, 71, 73, 73, 76, 48]","[0, 54, 4, 23, 0, 15, 1, 4, 35]","[100, 95, 75, 100, 74, 85, 94, 6, 58]","[100, 91, 73, 64, 94, 19, 24, 82, 51]","[0, 9, 29, 18, 17, 2, 4, 13, 21]","[70, 93, 26, 41, 10, 54, 54, 26, 27]","[16, 2, 38, 2, 73, 76, 35, 72, 46]","[0, 13, 51, 0, 3, 2, 0, 12, 18]","[42, 81, 75, 44, 35, 66, 74, 81, 58]","[0, 18, 2, 43, 5, 2, 0, 14, 46]"
门当户对的订婚男女之间,"[67, 70, 73, 51, 93, 91, 84, 82, 99]","[93, 30, 50, 32, 85, 35, 14, 86, 98]","[20, 96, 42, 100, 97, 88, 39, 40, 98]","[59, 11, 63, 42, 91, 41, 70, 11, 2]","[25, 12, 78, 92, 61, 22, 1, 60, 20]","[17, 0, 8, 99, 55, 18, 10, 9, 1]","[72, 94, 80, 15, 91, 3, 11, 82, 95]","[78, 51, 50, 51, 90, 18, 38, 64, 93]","[58, 4, 42, 13, 95, 70, 2, 72, 2]","[71, 100, 28, 49, 93, 45, 73, 100, 77]","[3, 97, 26, 55, 60, 35, 52, 34, 36]","[5, 85, 25, 27, 24, 66, 41, 83, 61]","[99, 98, 72, 74, 52, 23, 91, 90, 77]","[69, 72, 79, 52, 75, 69, 58, 97, 80]","[77, 95, 78, 59, 22, 53, 42, 97, 79]","[82, 95, 38, 78, 67, 70, 95, 9, 83]","[69, 97, 88, 56, 34, 53, 53, 75, 59]","[0, 1, 19, 11, 0, 41, 3, 2, 8]","[89, 97, 55, 82, 71, 68, 100, 76, 80]","[96, 96, 80, 73, 71, 51, 84, 86, 77]","[97, 92, 59, 79, 57, 18, 100, 64, 85]","[91, 85, 54, 93, 80, 68, 68, 57, 60]","[82, 2, 53, 27, 35, 47, 74, 73, 72]","[75, 89, 19, 94, 82, 99, 12, 95, 65]","[100, 100, 69, 99, 85, 89, 100, 94, 87]","[92, 88, 63, 79, 79, 72, 90, 93, 84]","[0, 0, 2, 14, 0, 18, 2, 2, 15]","[14, 67, 93, 84, 74, 92, 20, 54, 56]","[100, 97, 63, 100, 94, 5, 46, 65, 51]","[9, 67, 57, 23, 70, 6, 4, 10, 81]","[7, 13, 35, 14, 13, 21, 22, 13, 21]","[94, 44, 76, 7, 82, 89, 53, 83, 52]","[9, 10, 56, 7, 5, 2, 0, 14, 26]","[87, 100, 93, 97, 83, 100, 88, 91, 50]","[0, 15, 1, 0, 5, 3, 0, 12, 45]"
天人之间,"[64, 97, 86, 100, 50, 79, 90, 54, 99]","[6, 100, 1, 100, 51, 1, 85, 0, 1]","[99, 0, 99, 9, 100, 66, 35, 100, 1]","[21, 0, 2, 2, 9, 2, 91, 52, 1]","[3, 0, 1, 3, 54, 2, 1, 72, 1]","[45, 0, 1, 2, 95, 2, 7, 10, 1]","[11, 0, 1, 28, 9, 56, 10, 55, 99]","[44, 0, 50, 55, 100, 70, 29, 53, 98]","[68, 100, 89, 98, 55, 75, 1, 73, 99]","[100, 2, 87, 34, 0, 41, 2, 0, 2]","[0, 1, 24, 81, 16, 75, 5, 94, 2]","[0, 98, 89, 80, 95, 80, 77, 100, 2]","[100, 99, 82, 93, 100, 76, 50, 100, 8]","[100, 100, 87, 80, 84, 49, 83, 2, 100]","[100, 93, 53, 8, 93, 59, 37, 84, 8]","[0, 97, 31, 74, 0, 59, 5, 0, 10]","[100, 3, 22, 10, 100, 50, 6, 11, 7]","[0, 100, 87, 95, 100, 38, 100, 47, 10]","[100, 88, 74, 97, 69, 69, 99, 43, 2]","[100, 54, 34, 51, 0, 48, 93, 3, 2]","[100, 17, 50, 75, 71, 12, 2, 2, 2]","[100, 0, 6, 47, 62, 71, 1, 2, 7]","[0, 38, 4, 11, 35, 53, 2, 4, 8]","[100, 5, 67, 85, 0, 10, 88, 5, 95]","[0, 0, 2, 16, 0, 10, 2, 4, 1]","[100, 53, 7, 51, 31, 69, 100, 0, 6]","[0, 0, 3, 47, 56, 14, 1, 4, 9]","[0, 2, 5, 0, 3, 2, 0, 51, 62]","[0, 51, 52, 100, 94, 100, 18, 65, 56]","[0, 2, 15, 17, 3, 2, 0, 13, 2]","[0, 0, 10, 24, 2, 1, 32, 31, 27]","[0, 100, 51, 33, 3, 100, 11, 47, 62]","[0, 7, 7, 0, 3, 2, 0, 9, 25]","[47, 100, 56, 100, 95, 100, 100, 47, 47]","[0, 11, 2, 0, 5, 2, 0, 11, 45]"
戏班-剧作者,"[73, 89, 73, 50, 56, 86, 84, 53, 97]","[74, 30, 2, 41, 14, 49, 16, 44, 99]","[94, 83, 88, 96, 51, 9, 33, 65, 93]","[24, 88, 83, 94, 23, 2, 86, 98, 97]","[64, 14, 93, 53, 16, 45, 1, 85, 98]","[3, 25, 27, 78, 49, 2, 15, 58, 1]","[58, 94, 65, 48, 21, 76, 55, 78, 91]","[60, 80, 30, 16, 44, 9, 37, 80, 15]","[90, 27, 4, 26, 19, 2, 5, 18, 2]","[77, 0, 85, 45, 20, 34, 2, 25, 24]","[21, 95, 72, 84, 91, 67, 77, 92, 61]","[23, 89, 34, 38, 31, 23, 73, 46, 44]","[18, 71, 33, 35, 29, 24, 74, 34, 39]","[91, 71, 70, 62, 78, 43, 87, 63, 44]","[86, 15, 25, 35, 17, 56, 1, 3, 38]","[12, 93, 82, 74, 44, 51, 95, 96, 64]","[70, 3, 21, 24, 45, 51, 25, 0, 34]","[16, 1, 7, 70, 49, 36, 49, 52, 13]","[74, 28, 31, 40, 19, 17, 68, 31, 65]","[100, 81, 91, 34, 14, 77, 69, 89, 79]","[84, 21, 3, 59, 21, 11, 18, 7, 31]","[30, 5, 21, 36, 2, 14, 13, 26, 39]","[83, 87, 25, 94, 100, 66, 88, 78, 70]","[96, 59, 60, 35, 13, 66, 67, 95, 79]","[0, 0, 2, 21, 0, 9, 3, 2, 20]","[86, 66, 81, 46, 25, 70, 69, 95, 80]","[0, 94, 4, 14, 54, 29, 40, 69, 74]","[90, 96, 69, 53, 60, 75, 0, 69, 65]","[100, 24, 94, 80, 95, 94, 52, 71, 51]","[7, 81, 48, 100, 97, 92, 70, 72, 14]","[24, 36, 56, 59, 9, 37, 10, 22, 22]","[94, 90, 72, 100, 69, 92, 77, 16, 52]","[88, 92, 82, 100, 94, 96, 100, 79, 26]","[61, 73, 81, 44, 84, 83, 68, 47, 45]","[0, 18, 24, 18, 4, 11, 3, 13, 41]"
叔侄,"[95, 89, 66, 86, 100, 91, 85, 88, 99]","[5, 11, 2, 25, 21, 4, 71, 40, 1]","[2, 75, 25, 92, 100, 53, 37, 41, 1]","[21, 0, 14, 18, 97, 21, 86, 6, 2]","[32, 0, 38, 12, 14, 2, 1, 6, 2]","[2, 28, 8, 58, 21, 14, 8, 22, 1]","[74, 0, 78, 20, 88, 33, 12, 61, 99]","[93, 73, 66, 74, 100, 61, 41, 67, 100]","[56, 75, 84, 9, 49, 54, 1, 6, 99]","[89, 100, 21, 64, 49, 46, 94, 85, 79]","[10, 98, 33, 47, 85, 51, 12, 7, 37]","[24, 2, 29, 73, 56, 73, 50, 26, 40]","[100, 98, 78, 84, 91, 75, 97, 100, 75]","[83, 85, 74, 66, 85, 25, 79, 96, 74]","[85, 96, 76, 74, 76, 58, 94, 94, 66]","[11, 96, 27, 19, 34, 45, 94, 7, 68]","[91, 93, 100, 67, 65, 52, 88, 91, 66]","[92, 77, 70, 77, 83, 88, 96, 84, 77]","[78, 78, 74, 79, 60, 72, 99, 95, 55]","[26, 70, 42, 79, 28, 54, 8, 96, 45]","[73, 67, 57, 81, 41, 13, 84, 98, 80]","[80, 88, 75, 80, 71, 70, 100, 94, 74]","[24, 4, 5, 22, 24, 51, 1, 2, 34]","[77, 80, 54, 89, 87, 75, 3, 95, 76]","[0, 0, 3, 19, 0, 8, 2, 90, 68]","[88, 89, 49, 73, 92, 67, 95, 96, 82]","[100, 100, 3, 100, 100, 19, 100, 95, 70]","[87, 53, 77, 71, 97, 98, 88, 8, 45]","[100, 79, 71, 52, 95, 27, 23, 69, 48]","[0, 10, 8, 0, 3, 1, 3, 15, 16]","[3, 2, 12, 8, 4, 2, 4, 15, 27]","[20, 7, 42, 0, 38, 91, 22, 79, 50]","[0, 10, 11, 1, 3, 2, 0, 7, 26]","[61, 96, 95, 94, 86, 97, 99, 80, 46]","[0, 14, 2, 100, 5, 2, 0, 16, 46]"
